link_name,datetime,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
overhead_line1,2014-01-01 03:00:00 EST,0.000000,0.000000,-119.481010,-87.708134,31.554757,53.195533
overhead_line2,2014-01-01 03:00:00 EST,0.000000,0.000000,-31.554758,-53.195533,31.554757,53.195533
overhead_line3,2014-01-01 03:00:00 EST,502.383224,-278.083135,-357.061478,-265.391520,-37.329492,592.330020
overhead_line4,2014-01-01 03:00:00 EST,436.371769,-226.967697,-173.779052,-153.867882,-79.357858,477.241684
overhead_line5,2014-01-01 03:00:00 EST,431.758589,-223.898767,-153.922025,-143.380669,-81.255088,439.934170
overhead_line6,2014-01-01 03:00:00 EST,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
overhead_line7,2014-01-01 03:00:00 EST,47.704417,-38.838453,0.000000,0.000000,-37.100879,60.703379
overhead_line8,2014-01-01 03:00:00 EST,0.000000,0.000000,0.000000,0.000000,-37.100879,60.703379
overhead_line9,2014-01-01 03:00:00 EST,47.704417,-38.838453,0.000000,0.000000,0.000000,0.000000
overhead_line10,2014-01-01 03:00:00 EST,209.636380,-23.477153,28.142406,-53.751780,-45.630630,115.606295
overhead_line11,2014-01-01 03:00:00 EST,66.011455,-51.115438,-63.801416,-23.815504,10.473609,61.892804
switch1,2014-01-01 03:00:00 EST,222.357751,-76.634381,28.142406,-53.751780,-58.352001,168.763525
XFMR1,2014-01-01 03:00:00 EST,66.011455,-51.115438,-63.801416,-23.815504,10.473609,61.892804
Reg1,2014-01-01 03:00:00 EST,521.956596,-288.917543,-340.058550,-252.753828,-39.818125,631.818688
