node_name,datetime,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node633,2014-01-01 03:00:00 EST,2382.442814,-105.354434,-1196.466860,-1907.557288,-1133.542501,2154.894923
Node630,2014-01-01 03:00:00 EST,2495.302593,0.027808,-1143.667722,-1980.925842,-1280.944107,2218.607434
Node632,2014-01-01 03:00:00 EST,2390.081140,-103.116916,-1197.346025,-1913.317979,-1136.560264,2160.163576
Node650,2014-01-01 03:00:00 EST,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
Node680,2014-01-01 03:00:00 EST,2305.198282,-215.661889,-1233.049293,-1914.928173,-1024.023020,2109.366468
Node684,2014-01-01 03:00:00 EST,2300.634884,-216.163126,0.000000,0.000000,-1018.147568,2106.832239
Load634,2014-01-01 03:00:00 EST,267.914699,-15.183267,-137.153290,-213.960612,-126.309965,245.086248
Load645,2014-01-01 03:00:00 EST,0.000000,0.000000,-1191.797166,-1889.447324,-1135.156812,2156.351071
Load646,2014-01-01 03:00:00 EST,0.000000,0.000000,-1192.467798,-1884.461595,-1134.446367,2151.364690
Load652,2014-01-01 03:00:00 EST,2291.466992,-210.737814,0.000000,0.000000,0.000000,0.000000
Load671,2014-01-01 03:00:00 EST,2305.198282,-215.661889,-1233.049293,-1914.928173,-1024.023020,2109.366468
Load675,2014-01-01 03:00:00 EST,2288.403553,-224.361244,-1241.877437,-1915.274598,-1022.341121,2104.988572
Load692,2014-01-01 03:00:00 EST,2305.183709,-215.631990,-1233.046732,-1914.919984,-1024.034061,2109.343756
Load611,2014-01-01 03:00:00 EST,0.000000,0.000000,0.000000,0.000000,-1010.699001,2105.086670
Load6711,2014-01-01 03:00:00 EST,2305.198282,-215.661889,-1233.049293,-1914.928173,-1024.023020,2109.366468
Load6321,2014-01-01 03:00:00 EST,2369.472538,-131.163231,-1205.737552,-1912.580359,-1105.944274,2146.973159
